IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
99.181.97.55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.155;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.225.204;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99.181.97.68;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.104;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.133;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.95;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99.181.97.61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.106;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.83;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.42;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.228.80;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.244.204;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.85;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
192.16.65.142;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.227.78;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.243.205;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.152;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.148;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.90;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.125;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.132;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.240;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.175;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.230;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.227.50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.247;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.141;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.235;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.179;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.55;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.57;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.226.115;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.15;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.87;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.175;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.158;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.81;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.69;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.229.27;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.183;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.227.234;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.178;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.214;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.228.87;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.145;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
